query,response
"Design an Egyptian wall mirror","{""core_type"": ""mirror"", ""modifiers"": [""Egyptian"", ""wall""], ""compound_type"": ""wall mirror""}"
"Build a medieval candle stand","{""core_type"": ""stand"", ""modifiers"": [""medieval"", ""candle""], ""compound_type"": ""candle stand""}"
"Make a Scandinavian desk organizer","{""core_type"": ""organizer"", ""modifiers"": [""Scandinavian"", ""desk""], ""compound_type"": ""desk organizer""}"
"I need an industrial light fixture","{""core_type"": ""fixture"", ""modifiers"": [""industrial"", ""light""], ""compound_type"": ""light fixture""}"
"Create a baroque picture frame","{""core_type"": ""frame"", ""modifiers"": [""baroque"", ""picture""], ""compound_type"": ""picture frame""}"
"Design a minimalist vase","{""core_type"": ""vase"", ""modifiers"": [""minimalist""], ""compound_type"": ""minimalist vase""}"
"Build an art deco wall panel","{""core_type"": ""panel"", ""modifiers"": [""art deco"", ""wall""], ""compound_type"": ""wall panel""}"
"Make a rustic towel ring","{""core_type"": ""ring"", ""modifiers"": [""rustic"", ""towel""], ""compound_type"": ""towel ring""}"
"I want a Victorian umbrella stand","{""core_type"": ""stand"", ""modifiers"": [""Victorian"", ""umbrella""], ""compound_type"": ""umbrella stand""}"
"Create a steampunk wall hook","{""core_type"": ""hook"", ""modifiers"": [""steampunk"", ""wall""], ""compound_type"": ""wall hook""}"
"Design a modern spice rack","{""core_type"": ""rack"", ""modifiers"": [""modern"", ""spice""], ""compound_type"": ""spice rack""}"
"Build a Celtic wall decoration","{""core_type"": ""decoration"", ""modifiers"": [""Celtic"", ""wall""], ""compound_type"": ""wall decoration""}"
"Make an oriental incense box","{""core_type"": ""box"", ""modifiers"": [""oriental"", ""incense""], ""compound_type"": ""incense box""}"
"I need a contemporary wine holder","{""core_type"": ""holder"", ""modifiers"": [""contemporary"", ""wine""], ""compound_type"": ""wine holder""}"
"Create a futuristic tablet mount","{""core_type"": ""mount"", ""modifiers"": [""futuristic"", ""tablet""], ""compound_type"": ""tablet mount""}"
"Design an industrial coat stand","{""core_type"": ""stand"", ""modifiers"": [""industrial"", ""coat""], ""compound_type"": ""coat stand""}"
"Build a minimalist desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""minimalist"", ""desk""], ""compound_type"": ""desk lamp""}"
"Make a gothic bookend","{""core_type"": ""bookend"", ""modifiers"": [""gothic""], ""compound_type"": ""gothic bookend""}"
"I want an art nouveau plant holder","{""core_type"": ""holder"", ""modifiers"": [""art nouveau"", ""plant""], ""compound_type"": ""plant holder""}"
"Create a rustic knife block","{""core_type"": ""block"", ""modifiers"": [""rustic"", ""knife""], ""compound_type"": ""knife block""}"
"Design a modern wall planter","{""core_type"": ""planter"", ""modifiers"": [""modern"", ""wall""], ""compound_type"": ""wall planter""}"
"Build a steampunk coat hook","{""core_type"": ""hook"", ""modifiers"": [""steampunk"", ""coat""], ""compound_type"": ""coat hook""}"
"Make an industrial book stand","{""core_type"": ""stand"", ""modifiers"": [""industrial"", ""book""], ""compound_type"": ""book stand""}"
"I need a minimalist wine rack","{""core_type"": ""rack"", ""modifiers"": [""minimalist"", ""wine""], ""compound_type"": ""wine rack""}"
"Create an art deco wall mirror","{""core_type"": ""mirror"", ""modifiers"": [""art deco"", ""wall""], ""compound_type"": ""wall mirror""}"
"Design a Victorian jewelry stand","{""core_type"": ""stand"", ""modifiers"": [""Victorian"", ""jewelry""], ""compound_type"": ""jewelry stand""}"
"Build a gothic wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""gothic"", ""wall""], ""compound_type"": ""wall shelf""}"
"Make a contemporary spice jar","{""core_type"": ""jar"", ""modifiers"": [""contemporary"", ""spice""], ""compound_type"": ""spice jar""}"
"I want an oriental wall fan","{""core_type"": ""fan"", ""modifiers"": [""oriental"", ""wall""], ""compound_type"": ""wall fan""}"
"Create a modernist coat rack","{""core_type"": ""rack"", ""modifiers"": [""modernist"", ""coat""], ""compound_type"": ""coat rack""}"
"Design an Egyptian wall lamp","{""core_type"": ""lamp"", ""modifiers"": [""Egyptian"", ""wall""], ""compound_type"": ""wall lamp""}"
"Build a medieval book holder","{""core_type"": ""holder"", ""modifiers"": [""medieval"", ""book""], ""compound_type"": ""book holder""}"
"Make a Scandinavian wall hook","{""core_type"": ""hook"", ""modifiers"": [""Scandinavian"", ""wall""], ""compound_type"": ""wall hook""}"
"I need an industrial desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""industrial"", ""desk""], ""compound_type"": ""desk lamp""}"
"Create a baroque wall sconce","{""core_type"": ""sconce"", ""modifiers"": [""baroque"", ""wall""], ""compound_type"": ""wall sconce""}"
"Design a minimalist key hook","{""core_type"": ""hook"", ""modifiers"": [""minimalist"", ""key""], ""compound_type"": ""key hook""}"
"Build an art deco wine rack","{""core_type"": ""rack"", ""modifiers"": [""art deco"", ""wine""], ""compound_type"": ""wine rack""}"
"Make a rustic plant stand","{""core_type"": ""stand"", ""modifiers"": [""rustic"", ""plant""], ""compound_type"": ""plant stand""}"
"I want a Victorian wall clock","{""core_type"": ""clock"", ""modifiers"": [""Victorian"", ""wall""], ""compound_type"": ""wall clock""}"
"Create a steampunk book end","{""core_type"": ""end"", ""modifiers"": [""steampunk"", ""book""], ""compound_type"": ""book end""}"
"Design a modern wall hook","{""core_type"": ""hook"", ""modifiers"": [""modern"", ""wall""], ""compound_type"": ""wall hook""}"
"Build a Celtic candle holder","{""core_type"": ""holder"", ""modifiers"": [""Celtic"", ""candle""], ""compound_type"": ""candle holder""}"
"Make an oriental tea chest","{""core_type"": ""chest"", ""modifiers"": [""oriental"", ""tea""], ""compound_type"": ""tea chest""}"
"I need a contemporary wall shelf","{""core_type"": ""shelf"", ""modifiers"": [""contemporary"", ""wall""], ""compound_type"": ""wall shelf""}"
"Create a futuristic desk pad","{""core_type"": ""pad"", ""modifiers"": [""futuristic"", ""desk""], ""compound_type"": ""desk pad""}"
"Design an industrial wall mount","{""core_type"": ""mount"", ""modifiers"": [""industrial"", ""wall""], ""compound_type"": ""wall mount""}"
"Build a minimalist coat hook","{""core_type"": ""hook"", ""modifiers"": [""minimalist"", ""coat""], ""compound_type"": ""coat hook""}"
"Make a gothic wall bracket","{""core_type"": ""bracket"", ""modifiers"": [""gothic"", ""wall""], ""compound_type"": ""wall bracket""}"
"I want an art nouveau desk tray","{""core_type"": ""tray"", ""modifiers"": [""art nouveau"", ""desk""], ""compound_type"": ""desk tray""}"
